type,sourcename,targetname,targetentitytype
System.DateTime,datefulfilled,datefulfilled,
System.String,description,description,
System.Decimal,discountamount,discountamount,
System.Decimal,discountpercentage,discountpercentage,
System.Decimal,freightamount,freightamount,
System.Int32,freighttermscode,freighttermscode,OptionSet
System.Int32,importsequencenumber,importsequencenumber,
System.Boolean,ispricelocked,ispricelocked,
System.DateTime,lastbackofficesubmit,lastbackofficesubmit,
System.String,modifiedbyname,modifiedbyname,
System.String,modifiedbyyominame,modifiedbyyominame,
System.String,name,name,
System.Guid,new_accountid,new_accountid,account
System.Guid,new_accountid,customerid,account
System.Int32,new_advertisingmaterialtype,new_advertisingmaterialtype,OptionSet
System.Boolean,new_barter,new_barter,
System.Guid,new_billingaddressid,new_billingaddressid,new_customeraddress
System.Guid,new_billingcontactid,new_billingcontactid,contact
System.Guid,new_companyid,new_companyid,new_company
System.Guid,new_contactid,new_contactid,contact
System.Guid,new_contactid,customerid,contact
System.Guid,new_contactpersonid,new_contactpersonid,contact
System.DateTime,new_dateapproved,new_dateapproved,
System.DateTime,new_datecollected,new_datecollected,
System.DateTime,new_datereviewed,new_datereviewed,
System.Guid,new_defaultcarrierid,new_defaultcarrierid,new_defaultcarrier
System.String,new_details,new_details,
System.Guid,new_endcustomernameid,new_endcustomernameid,account
System.String,new_errormessage,new_errormessage,
System.Guid,new_eventid,new_eventid,campaign
System.String,new_fiscalnumber,new_fiscalnumber,
System.Boolean,new_flag_sponsorshipwithads,new_flag_sponsorshipwithads,
System.Boolean,new_flag_sponsorshipwithsubscriptions,new_flag_sponsorshipwithsubscriptions,
System.Decimal,new_grandamountaftervat,new_grandamountaftervat,
System.String,new_invoicetermdescription,new_invoicetermdescription,
System.Guid,new_invoicetermsid,new_invoicetermsid,new_invoiceterms
System.Guid,new_mbuagencyid,new_mbuagencyid,account
System.String,new_notes,new_notes,
System.String,new_order_guid,new_order_guid,
System.String,new_order_url,new_order_url,
System.Boolean,new_orderapproved,new_orderapproved,
System.Boolean,new_ordercreatedfromsubscription,new_ordercreatedfromsubscription,
System.DateTime,new_orderdate,new_orderdate,
System.Boolean,new_paymentcollected,new_paymentcollected,
System.Int32,new_paymentmethod,new_paymentmethod,OptionSet
System.Boolean,new_paymentreviewed,new_paymentreviewed,
System.String,new_ponumber,new_ponumber,
System.String,new_productids,new_productids,
System.Int32,new_producttype,new_producttype,OptionSet
System.Guid,new_relatedorderid,new_relatedorderid,salesorder
System.String,new_sal_createadscorrespondingtoorderproducts,new_sal_createadscorrespondingtoorderproducts,
System.Int32,new_salestype,new_salestype,OptionSet
System.Guid,new_shipto_customeraddressid,new_shipto_customeraddressid,new_customeraddress
System.Boolean,new_showdiscount,new_showdiscount,
System.Int32,new_submissionstatus,new_submissionstatus,OptionSet
System.Int32,new_submissionstatusregistration,new_submissionstatusregistration,OptionSet
System.Int32,new_submitforad_submissionstatus,new_submitforad_submissionstatus,OptionSet
System.Guid,new_subscriberaccountid,new_subscriberaccountid,account
System.Guid,new_subscriberaccountid,new_subscriber,account
System.Int32,new_subscribercategory,new_subscribercategory,OptionSet
System.Guid,new_subscribercontactid,new_subscribercontactid,contact
System.Guid,new_subscribercontactid,new_subscriber,contact
System.Decimal,new_suml1allowed,new_suml1allowed,
System.Decimal,new_suml1requestedapproved,new_suml1requestedapproved,
System.Guid,new_vat_beneficiarycountryid,new_vat_beneficiarycountryid,new_country
System.Decimal,new_vat_vat,new_vat_vat,
System.Decimal,new_vatamount,new_vatamount,
System.Guid,opportunityid,opportunityid,opportunity
System.String,ordernumber,ordernumber,
System.Int32,paymenttermscode,paymenttermscode,OptionSet
System.Guid,pricelevelid,pricelevelid,pricelevel
System.Int32,pricingerrorcode,pricingerrorcode,OptionSet
System.Int32,prioritycode,prioritycode,OptionSet
System.DateTime,requestdeliveryby,requestdeliveryby,
System.Int32,shippingmethodcode,shippingmethodcode,OptionSet
System.Int32,statecode,statecode,
System.Int32,statuscode,statuscode,
System.DateTime,submitdate,submitdate,
System.Int32,submitstatus,submitstatus,
System.String,submitstatusdescription,submitstatusdescription,
System.Int32,timezoneruleversionnumber,timezoneruleversionnumber,
System.Decimal,totalamount,totalamount,
System.Decimal,totalamountlessfreight,totalamountlessfreight,
System.Decimal,totaldiscountamount,totaldiscountamount,
System.Decimal,totallineitemamount,totallineitemamount,
System.Decimal,totallineitemdiscountamount,totallineitemdiscountamount,
System.Decimal,totaltax,totaltax,
System.Guid,transactioncurrencyid,transactioncurrencyid,transactioncurrency
System.Int32,utcconversiontimezonecode,utcconversiontimezonecode,
System.Boolean,willcall,willcall,
